,Nume,Pret,Rating
0,          Energique Nr 2 Puppy        ,"        €5,95      ",
1,          Hondenshirt T-Shirt Hond Croci Dylan Gestreept Rood/Wit/Donkerblauw        ,"        €20,99      ",
2,          Dierendrogist Knoflook Tabletten 200 ST        ,"        €36,95      ",
3,          Little Rascals Flostouw Pop Met Fleece Roze 35X10X7 CM        ,"        €5,95      ",
4,          Happy Pet Wild Crinkler Alligator 60X14X9 CM        ,"        €8,95      ",
5,          Happy Pet Migrator Pluche Wilde Eend        ,"        €5,95      ",
6,          Carocroc Skin Support Hondenvoer 15kg        ,"        €70,95      ",
7,          Orijnen Whole Prey Original Hondenvoer        ,"        €57,95      ",
8,          Carocroc Original 23/12        ,"        €12,95      ",
9,          Aqua Coolkeeper Halsband Aqua Coolkeeper Pacific Blue        ,"        €7,95      ",
10,"          Beaphar-Ontwormer-Hond-4 Tabl. Beaphar Wormmiddel All-in-One ( 2,5kg-20kg)        ","        €8,95      ",
11,          Trixie Hondenmand Mila Rond Pluche Wit / Grijs 60X60 CM        ,"        €31,99      ",
12,          Fofos Fazant Pluche 45X9X5 CM        ,"        €13,95      ",
13,"          Fofos Safari Giraffe 28X23X5,5 CM        ","        €13,95      ",
14,          Trixie Knuffel Hondbenny Pluche Beige / Bruin 75 CM        ,"        €35,99      ",
15,          Fofos Snuffelmat Krokodil 60X55 CM        ,"        €23,95      ",
16,          Fofos Flossy Flostouw Met Bal 47X8X8 CM        ,"        €9,95      ",
17,          Fofos Wilde Eend Pluche 33X8X9 CM        ,"        €13,95      ",
18,          Fofos Haan Pluche 27X8X9 CM        ,"        €13,95      ",
19,"          Fofos Safari Tijger 27X26X6,5 CM        ","        €13,95      ",
20,          Fofos Hide & Seek Met Bot / Flostouw / Bal 21X12X14 CM        ,"        €17,95      ",
21,          Fofos Regenjas Dinosaurus Groen        ,"        €27,95      ",
22,          I Am Varkensschouderblad 10 ST        ,"        €16,95      ",
23,          I Am Lamskophuid 1 KG        ,"        €16,95      ",
24,          Fofos Safari Leeuw 26X19X6 CM        ,"        €14,95      ",
25,"          Fofos Safari Krokodil 22X25X6,5 CM        ","        €14,95      ",
26,          Plenty Gifts Sokken Border Collie 33-38        ,"        €7,95      ",
27,          Sazzz Pluche Dino Groen 36X10X9 CM        ,"        €14,95      ",
28,          Trixie Honden Ligmat Mila Pluche Wit / Grijs        ,"        €15,95      ",
29,          Petsnack Runderkophuid 1 KG        ,"        €215,95      ",
30,          Trixie Junior Beer Pluche 20 CM        ,"        €10,95      ",
31,"          Merkloos Boek Hoe Ik Mijn Hond Leerde Praten 21,5X14X2,5 CM        ","        €21,95      ",
32,          Plenty Gifts Plenty Gits Sokken Border Collie 39-44        ,"        €7,95      ",
33,          Natural Greatness Salmon Sensitive Medium        ,"        €17,95      ",
34,          Martin Sellier Hondenjas Etoile Bruin Waterafstotend        ,"        €38,95      ",
35,          Natural Greatness Lamb Recipe        ,"        €18,95      ",
36,          Natural Greatness Rabbit Light & Fit Recipe        ,"        €18,95      ",
37,          Trixie Snack Dobbelsteen Tpr Assorti 6 CM        ,"        €5,95      ",
38,          Beaphar Tandpasta En Borstel Combi-Pack Puppy        ,"        €6,95      ",
39,          Trixie Hondenriem Cavo Bruin / Beige        ,"        €7,95      ",
40,          Trixie Vliegtuigtas Fly Zwart 45X28X25 CM        ,"        €75,95      ",
41,          Trixie Vliegtuigtas Plane Zwart 44X28X25 CM        ,"        €85,95      ",
42,          Trixie Vliegtuigtas Gate Zwart 45X28X25 CM        ,"        €69,95      ",
43,          Trixie Rugtas Timon Zwart 34X30X44 CM        ,"        €63,95      ",
44,          Trixie Hondenjas Arlay Donkergroen        ,"        €29,95      ",
45,          Trixie Snackbel Aan Singelband Drijvend Tpr / Polyester Assorti 11X22 CM        ,"        €7,95      ",
46,          Trixie Snackstick Aan Singelband Tpr / Polyester Assorti 20X31 CM        ,"        €8,95      ",
47,          Trixie Hond Benny Pluche Beige / Bruin 30 CM        ,"        €8,95      ",
48,          Trixie Hondenjas Calvi Zwart        ,"        €49,95      ",
49,          Brightkins Surprise Party Treat Puzzle        ,"        €26,95      ",
50,          Hunger For Words Talking Pet Starter Set        ,"        €35,99      ",
51,          Hunger For Words Talking Pet Essential Words Set        ,"        €46,95      ",
52,          Brightkins Cupcake Treat Dispenser        ,"        €7,95      ",
53,          Hunger For Words Talking Pet Next Words Names        ,"        €29,99      ",
54,          Hunger For Words Talking Pet Next Words Locations        ,"        €29,99      ",
55,          Hunger For Words Talking Pet Button Mat        ,"        €23,99      ",
56,          Hunger For Words Talking Pet Doorbell        ,"        €14,49      ",
57,          Hunger For Words Talking Pet Goal Tracker        ,"        €23,99      ",
58,          Brightkins Smarty Pooch Training Clicker Hotdog        ,"        €8,95      ",
59,          Brightkins Pooch School Training Set        ,"        €20,95      ",
60,          Brightkins Magic Trick Training Set        ,"        €20,95      ",
61,          Brightkins Cupcake Party Treat Puzzle        ,"        €19,95      ",
62,          Brightkins Spinning Hydrants Treat Puzzle        ,"        €35,99      ",
63,          Brightkins Cactus Surprise Treat Dispenser        ,"        €15,95      ",
64,          Brightkins Magic Wand Treat Dispenser Star        ,"        €9,95      ",
